,date,code,open,high,low,close,volume,amount
197,2017/3/24,sh.600519,392.32,393.22,385,386.82,3328772,1292313392
198,2017/3/27,sh.600519,386.03,389.26,378.39,378.82,5369028,2054742976
199,2017/3/28,sh.600519,379.95,381.15,376.66,380.26,4118717,1558258560
200,2017/3/29,sh.600519,381.01,385.8,379.9,383.65,3729967,1429610960
201,2017/3/30,sh.600519,383,386.89,382.6,386.14,3161299,1216016528
202,2017/3/31,sh.600519,386.2,388,384.18,386.36,2447422,945503280
203,2017/4/5,sh.600519,385.66,394.99,385,389.66,4078998,1594997312
204,2017/4/6,sh.600519,389.01,393,386.63,391.91,2885720,1125204240
205,2017/4/7,sh.600519,392.99,394,389.6,392.87,2409723,945589200
206,2017/4/10,sh.600519,394,394,388,389.2,2886948,1126296272
207,2017/4/11,sh.600519,388.05,390.7,380.6,385.29,4353072,1679537552
208,2017/4/12,sh.600519,385.29,391,384.8,390.23,2700291,1049245584
209,2017/4/13,sh.600519,390.78,398.59,390.51,398.39,4564835,1805008864
210,2017/4/14,sh.600519,399.43,399.88,395,395.45,2364656,938378992
211,2017/4/17,sh.600519,391,398.28,388.55,395.79,2879371,1136763712
212,2017/4/18,sh.600519,394.6,406.55,394.6,404.65,4958100,1987661264
213,2017/4/19,sh.600519,403,409.1,402.86,405.74,3755011,1521983648
214,2017/4/20,sh.600519,406.09,420.43,406.09,415.31,5045768,2091241456
215,2017/4/21,sh.600519,415,415.6,400,400.53,4933292,2015062640
216,2017/4/24,sh.600519,400.62,405,389,398.55,5003797,1986424992
217,2017/4/25,sh.600519,404.8,420.17,404.8,418.89,7619271,3143136336
218,2017/4/26,sh.600519,418.85,428.68,413.01,417.96,5662412,2384125120
219,2017/4/27,sh.600519,415.53,421.97,410.43,421.44,2824071,1180494896
220,2017/4/28,sh.600519,421.99,423,409.9,413.48,4950587,2052093808
221,2017/5/2,sh.600519,411.6,415,409.18,412.08,2329168,960137248
222,2017/5/3,sh.600519,411,417.66,411,417.61,2026791,842560352
223,2017/5/4,sh.600519,414.63,418.48,414.63,416,2670915,1111200112
224,2017/5/5,sh.600519,416.2,422.78,415.1,416.19,3743711,1566063424
225,2017/5/8,sh.600519,416.18,417,404.72,405.48,4072165,1671035536
